table	model	class_or_axis	key	usd	comparator_usd	flag
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=5,R=None	0.604090	0.521438	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=5,R=None	0.161352	1613.52/1827.66	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=5,R=None	0.244004	0.161352	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=5,R=None	0.129344	6467.22/7537.89	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=5,R=None	0.211996	0.129344	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=5,R=None	0.125343	12534.35/14675.69	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=5,R=None	0.207995	0.125343	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=5,R=None	0.122143	61071.37/71778.06	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=5,R=None	0.204794	0.122143	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=5,R=None	0.121743	121742.63/143156.02	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=5,R=None	0.204394	0.121743	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=10,R=None	0.442605	442.60/450.11	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=10,R=None	0.483931	0.442605	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=10,R=None	0.082518	825.18/900.20	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=10,R=None	0.123844	0.082518	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=10,R=None	0.050511	2525.54/2900.62	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=10,R=None	0.091837	0.050511	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=10,R=None	0.046510	4650.99/5401.14	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=10,R=None	0.087836	0.046510	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=10,R=None	0.043309	21654.55/25405.33	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=10,R=None	0.084635	0.043309	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=10,R=None	0.042909	42909.00/50410.57	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=10,R=None	0.084235	0.042909	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=10,R=None	0.476216	476.22/489.65	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=10,R=None	0.517542	0.476216	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=10,R=None	0.116130	1161.30/1295.63	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=10,R=None	0.157456	0.116130	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=10,R=None	0.084123	4206.13/4877.78	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=10,R=None	0.125448	0.084123	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=10,R=None	0.080122	8012.15/9355.46	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=10,R=None	0.121447	0.080122	unmeasured-scenario
